dataset,model,nr_topics,min_topic_size,npmi,umass,diversity,computation_time
climate,openai,10,5,0.20352553722778918,-6.464650835816765,0.9222222222222222,20.993641297022503
climate,openai,10,15,0.43463786658578724,-2.5329983648914305,0.9481481481481482,20.567899306615193
climate,openai,20,5,0.15571686666649928,-7.988038486088887,0.9456140350877194,19.839678923288982
climate,openai,20,15,0.6153774353831382,-0.16369805193790302,1.0,18.461390654246014
climate,openai,30,5,0.1507400910446692,-7.9749670109233834,0.9275862068965517,23.425333976745605
climate,openai,30,15,0.6153774353831382,-0.16369805193790302,1.0,23.781813383102417
climate,openai,40,5,0.1249493664845085,-8.690436077147572,0.9316239316239315,24.302950461705525
climate,openai,40,15,0.6153774353831382,-0.16369805193790302,1.0,22.549631039301556
climate,openai,50,5,0.11344494645180285,-8.9590361087895,0.9292517006802722,23.799346049626667
climate,openai,50,15,0.6153774353831382,-0.16369805193790302,1.0,26.89693530400594
