dataset,model,nr_topics,min_topic_size,npmi,umass,diversity,computation_time
climate,louisbetsch/tweetclassification-bf-model,10,5,0.038121077296979805,-6.553332044619965,0.8037037037037037,100.03448128700256
climate,louisbetsch/tweetclassification-bf-model,10,15,0.6153774353831382,-0.16369805193790302,1.0,61.80785338083903
climate,louisbetsch/tweetclassification-bf-model,20,5,0.050041203630358966,-8.647823424660151,0.856140350877193,104.84899099667867
climate,louisbetsch/tweetclassification-bf-model,20,15,0.6153774353831382,-0.16369805193790302,1.0,61.806681076685585
climate,louisbetsch/tweetclassification-bf-model,30,5,0.09989540303758525,-8.696411687006071,0.9080459770114944,131.58830094337463
climate,louisbetsch/tweetclassification-bf-model,30,15,0.6153774353831382,-0.16369805193790302,1.0,59.03238073984782
climate,louisbetsch/tweetclassification-bf-model,40,5,0.07509478557658143,-9.694504732396624,0.923076923076923,151.70955538749695
climate,louisbetsch/tweetclassification-bf-model,40,15,0.6153774353831382,-0.16369805193790302,1.0,82.96584796905518
climate,louisbetsch/tweetclassification-bf-model,50,5,0.10102817747217623,-9.345861111917282,0.9115646258503401,147.8246119817098
climate,louisbetsch/tweetclassification-bf-model,50,15,0.6153774353831382,-0.16369805193790302,1.0,73.68477114041646
