dataset,model,nr_topics,min_topic_size,npmi,umass,diversity,computation_time
climate,use,10,5,0.23152861511451225,-6.5309564893525405,0.9666666666666667,23.596080938975017
climate,use,10,15,0.27455584930780436,-2.7049063485358045,0.9407407407407407,22.75796095530192
climate,use,20,5,0.16636509111165795,-7.7928308314066115,0.9543859649122807,21.346929629643757
climate,use,20,15,0.24603629336003507,-2.9068348930289964,0.9196078431372549,22.398578643798828
climate,use,30,5,0.11533850480544512,-8.852572250256818,0.9471264367816091,21.48309350013733
climate,use,30,15,0.17859115660533265,-4.931048886555081,0.8585087719298246,22.214222590128582
climate,use,40,5,0.15160282123652682,-8.273080853838477,0.9410256410256409,22.039245049158733
climate,use,40,15,0.1354146814210165,-6.3274455900690825,0.8132675438596492,23.317543347676594
climate,use,50,5,0.11779365135395187,-9.036840546085234,0.9469387755102042,27.271391073862713
climate,use,50,15,0.18369907723362058,-4.917817842459133,0.8746646026831785,22.57230027516683
