dataset,model,nr_topics,min_topic_size,npmi,umass,diversity,computation_time
climate,all-MiniLM-L6-v2,10,5,-0.08744035212425726,-10.32910223244325,0.8777777777777778,30.652592658996582
climate,all-MiniLM-L6-v2,10,15,0.04151694301506096,-7.5365181870188,0.8814814814814814,18.054341316223145
climate,all-MiniLM-L6-v2,20,5,0.03548096999030061,-9.131987513703153,0.8842105263157896,28.299590905507404
climate,all-MiniLM-L6-v2,20,15,0.23302796863285588,-5.075742775962141,0.9888888888888889,18.406182050704956
climate,all-MiniLM-L6-v2,30,5,0.03439837711297624,-10.134695493120566,0.9149425287356321,22.11893097559611
climate,all-MiniLM-L6-v2,30,15,0.24979166701974884,-4.559960240453518,0.9777777777777779,22.313380400339764
climate,all-MiniLM-L6-v2,40,5,0.04963873493949936,-10.26165307023435,0.917094017094017,29.239842732747395
climate,all-MiniLM-L6-v2,40,15,0.23302796863285588,-5.075742775962141,0.9888888888888889,18.338385343551636
climate,all-MiniLM-L6-v2,50,5,0.08233688398877499,-9.891473131224553,0.9258503401360545,29.364733695983887
climate,all-MiniLM-L6-v2,50,15,0.23302796863285588,-5.075742775962141,0.9888888888888889,17.223474343617756
