dataset,model,nr_topics,min_topic_size,npmi,umass,diversity,computation_time
climate,climatebert/distilroberta-base-climate-f,10,5,0.055570097656946725,-7.9940085884001775,0.8592592592592592,57.28342000643412
climate,climatebert/distilroberta-base-climate-f,10,15,0.17962370847774264,-2.5618308990273877,0.8000000000000002,45.29579226175944
climate,climatebert/distilroberta-base-climate-f,20,5,0.11898450553683965,-8.562932638645087,0.9017543859649123,64.22598997751872
climate,climatebert/distilroberta-base-climate-f,20,15,0.17884065178943268,-2.5639856600711615,0.8000000000000002,39.75213074684143
climate,climatebert/distilroberta-base-climate-f,30,5,0.14068483384412336,-8.371789608964193,0.896551724137931,70.3659839630127
climate,climatebert/distilroberta-base-climate-f,30,15,0.21842882129729432,-2.1029158129727645,0.85,40.05064598719279
climate,climatebert/distilroberta-base-climate-f,40,5,0.14068087579476393,-8.276462854836275,0.9034188034188034,65.18573395411174
climate,climatebert/distilroberta-base-climate-f,40,15,0.2588000474934659,-1.640257853667613,0.9,45.05751705169678
climate,climatebert/distilroberta-base-climate-f,50,5,0.11664363284612907,-8.915004375045799,0.9088435374149659,81.50078463554382
climate,climatebert/distilroberta-base-climate-f,50,15,0.17884065178943268,-2.5638331958561777,0.8000000000000002,43.63983257611593
